no,타임스탬프,t_ms,t_rel_ms,서버시각_t_ms,시각오프셋_ms,위도_x1e5,경도_x1e5,속도_kmh,방위_deg,poiID,상대번호
161,2023-12-15 14:51:56.755,1702619516755,15810956755,1721022764000,-1,-1,-1,-1,-1,-1,-1
162,2023-12-15 14:51:57.031,1702619517031,15810957031,1721022765000,-1,-1,-1,-1,-1,-1,-1
163,2023-12-15 14:51:59.773,1702619519773,15810959773,1721022767000,-1,-1,-1,-1,-1,-1,-1
164,2023-12-15 14:52:00.049,1702619520049,15810960049,1721022768000,-1,-1,-1,-1,-1,-1,-1
165,2023-12-15 14:52:09.806,1702619529806,15810969806,1721022777000,-1,-1,-1,-1,-1,-1,-1
166,2023-12-15 14:52:10.069,1702619530069,15810970069,1721022778000,-1,-1,-1,-1,-1,-1,-1
167,2023-12-15 14:52:10.442,1702619530442,15810970442,1721022778000,-1,-1,-1,-1,-1,-1,-1
168,2023-12-15 14:52:10.727,1702619530727,15810970727,1721022779000,-1,-1,-1,-1,-1,-1,-1
169,2023-12-15 14:52:11.015,1702619531015,15810971015,1721022778000,-1,-1,-1,-1,-1,-1,-1
170,2023-12-15 14:52:11.350,1702619531350,15810971350,1721022779000,-1,-1,-1,-1,-1,-1,-1
171,2023-12-15 14:52:11.688,1702619531688,15810971688,1721022779000,-1,-1,-1,-1,-1,-1,-1
172,2023-12-15 14:52:11.964,1702619531964,15810971964,1721022779000,-1,-1,-1,-1,-1,-1,-1
173,2023-12-15 14:52:12.308,1702619532308,15810972308,1721022780000,-1,-1,-1,-1,-1,-1,-1
174,2023-12-15 14:52:12.597,1702619532597,15810972597,1721022781000,-1,-1,-1,-1,-1,-1,-1
175,2023-12-15 14:52:12.928,1702619532928,15810972928,1721022780000,-1,-1,-1,-1,-1,-1,-1
176,2023-12-15 14:52:13.349,1702619533349,15810973349,1721022781000,-1,-1,-1,-1,-1,-1,-1
177,2023-12-15 14:52:22.172,1702619542172,15810982172,1721022790000,-1,-1,-1,-1,-1,-1,-1
178,2023-12-15 14:52:22.415,1702619542415,15810982415,1721022790000,-1,-1,-1,-1,-1,-1,-1
179,2023-12-15 14:52:24.838,1702619544838,15810984838,1721022792000,-1,-1,-1,-1,-1,-1,-1
180,2023-12-15 14:52:25.115,1702619545115,15810985115,1721022793000,-1,-1,-1,-1,-1,-1,-1
181,2023-12-15 14:52:29.465,1702619549465,15810989465,1721022797000,-1,-1,-1,-1,-1,-1,-1
182,2023-12-15 14:52:29.721,1702619549721,15810989721,1721022798000,-1,-1,-1,-1,-1,-1,-1
183,2023-12-15 14:52:30.752,1702619550752,15810990752,1721022798000,-1,-1,-1,-1,-1,-1,-1
184,2023-12-15 14:52:32.301,1702619552301,15810992301,1721022801000,-1,-1,-1,-1,-1,-1,-1
185,2023-12-15 14:52:33.156,1702619553156,15810993156,1721022801000,-1,-1,-1,-1,-1,-1,-1
186,2023-12-15 14:52:33.415,1702619553415,15810993415,1721022801000,-1,-1,-1,-1,-1,-1,-1
187,2023-12-15 14:52:35.641,1702619555641,15810995641,1721022803000,-1,-1,-1,-1,-1,-1,-1
188,2023-12-15 14:52:35.879,1702619555879,15810995879,1721022804000,-1,-1,-1,-1,-1,-1,-1
189,2023-12-15 14:52:47.854,1702619567854,15811007854,1721022815000,-1,-1,-1,-1,-1,-1,-1
190,2023-12-15 14:52:48.181,1702619568181,15811008181,1721022816000,-1,-1,-1,-1,-1,-1,-1
191,2023-12-15 14:53:54.870,1702619634870,15811074870,1721022882000,-1,-1,-1,-1,-1,-1,-1
192,2023-12-15 14:53:55.180,1702619635180,15811075180,1721022883000,-1,-1,-1,-1,-1,-1,-1
193,2024-03-06 22:52:49.329,1709733169329,22924609329,1709733169000,-1,-1,-1,-1,-1,-1,-1
194,2024-03-06 22:52:49.812,1709733169812,22924609812,1709733170000,-1,-1,-1,-1,-1,-1,-1
195,2024-03-06 22:52:50.441,1709733170441,22924610441,1709733171000,-1,-1,-1,-1,-1,-1,-1
196,2024-03-06 23:52:49.379,1709736769379,22928209379,1709736770000,-1,-1,-1,-1,-1,-1,-1
197,2024-03-06 23:52:49.746,1709736769746,22928209746,1709736770000,-1,-1,-1,-1,-1,-1,-1
