radius,slot,dist_km,plain,decrypted
3.0,14160,2.0768426414267775,1,0.9999999996914652
3.0,2876,2.0768426414267775,1,0.9999999997810287
3.0,4069,2.0768426414267775,1,0.9999999996759776
3.0,1128,2.0768426414267775,1,0.9999999999283964
3.0,20424,2.0768426414267775,1,0.9999999994319465
3.0,6920,2.0768426414267775,1,0.9999999994022901
3.0,18287,2.0768426414267775,1,0.9999999992175344
3.0,19224,2.0768426414267775,1,1.000000000164837
3.0,21031,4.070379948063401,0,3.5410651674966563e-10
3.0,16633,4.070379948063401,0,2.774698804053344e-10
3.0,15685,4.070379948063401,0,-3.681698826061008e-11
3.0,8755,4.070379948063401,0,-8.839478079533034e-11
3.0,10051,4.070379948063401,0,1.8088079512051957e-10
3.0,6583,4.070379948063401,0,-7.292287048358934e-10
3.0,4382,4.070379948063401,0,1.5488832438848021e-10
3.0,14941,4.070379948063401,0,-1.502584008295939e-10
3.0,10987,4.070379948063401,0,3.832486140203147e-10
3.0,506,4.070379948063401,0,2.51822951380376e-10
3.0,2554,6.262313927430596,0,1.2084977463189261e-10
3.0,13624,6.262313927430596,0,5.637063687639702e-10
3.0,21137,7.471491323945595,0,-6.454090375476711e-10
3.0,21727,12.760285368269132,0,1.4397146325629493e-10
3.0,22028,17.392615667541104,0,1.2917398335858896e-10
3.0,22113,24.655931973646123,0,-2.60610810709494e-10
3.0,0,517.7953016812207,0,6.842720279287562e-10
3.0,1,517.7953016812207,0,-1.841382601952546e-11
5.0,18200,0.0,1,0.9999999995393327
5.0,6184,0.0,1,1.000000000487106
5.0,12761,0.0,1,1.0000000005401755
5.0,12652,0.0,1,0.9999999996146549
5.0,8496,0.0,1,0.999999999948077
5.0,6961,0.0,1,1.0000000001161278
5.0,17953,0.0,1,0.999999999639277
5.0,21413,0.0,1,0.9999999996760502
5.0,1500,0.0,1,1.0000000004583733
5.0,1676,0.0,1,0.9999999999050363
5.0,3450,0.0,1,0.9999999996703773
5.0,343,0.0,1,0.9999999999268236
5.0,9759,2.0768426414267775,1,0.9999999995789481
5.0,15873,2.0768426414267775,1,0.9999999994280795
5.0,12931,2.0768426414267775,1,1.0000000003784437
5.0,15544,2.0768426414267775,1,0.9999999992926047
5.0,14160,2.0768426414267775,1,0.9999999995793301
5.0,2876,2.0768426414267775,1,0.9999999990905553
5.0,4069,2.0768426414267775,1,0.9999999997767692
5.0,1128,2.0768426414267775,1,1.0000000007496022
5.0,20424,2.0768426414267775,1,0.9999999996665979
5.0,6920,2.0768426414267775,1,0.9999999992099886
5.0,18287,2.0768426414267775,1,0.99999999950932
5.0,19224,2.0768426414267775,1,0.9999999995583456
5.0,21031,4.070379948063401,1,0.999999999893976
5.0,16633,4.070379948063401,1,1.0000000004940763
5.0,15685,4.070379948063401,1,0.9999999994444944
5.0,8755,4.070379948063401,1,0.999999999767591
5.0,10051,4.070379948063401,1,0.9999999994537911
5.0,6583,4.070379948063401,1,0.9999999996998483
5.0,4382,4.070379948063401,1,0.9999999999843961
5.0,14941,4.070379948063401,1,0.9999999997639819
5.0,10987,4.070379948063401,1,0.9999999998371334
5.0,506,4.070379948063401,1,0.9999999996844265
5.0,2554,6.262313927430596,0,5.586489049136389e-10
5.0,13624,6.262313927430596,0,3.7410391710331596e-11
5.0,21137,7.471491323945595,0,9.047844475383468e-11
5.0,21727,12.760285368269132,0,2.8714382129435595e-10
5.0,22028,17.392615667541104,0,-2.0164708791625685e-10
5.0,22113,24.655931973646123,0,1.2392817327899763e-09
5.0,0,517.7953016812207,0,7.796785994607092e-10
5.0,1,517.7953016812207,0,3.282201177512434e-10
10.0,18200,0.0,1,1.0000000006300047
10.0,6184,0.0,1,1.0000000004918264
10.0,12761,0.0,1,1.000000000795951
10.0,12652,0.0,1,1.000000000110994
10.0,8496,0.0,1,1.0000000002819818
10.0,6961,0.0,1,0.9999999997634595
10.0,17953,0.0,1,1.0000000000088543
10.0,21413,0.0,1,1.0000000008139738
10.0,1500,0.0,1,1.000000001929152
10.0,1676,0.0,1,0.9999999999190641
10.0,3450,0.0,1,1.0000000004739253
10.0,343,0.0,1,1.0000000001393832
10.0,9759,2.0768426414267775,1,1.000000000473547
10.0,15873,2.0768426414267775,1,1.0000000000792046
10.0,12931,2.0768426414267775,1,1.0000000002874108
10.0,15544,2.0768426414267775,1,0.9999999998513782
10.0,14160,2.0768426414267775,1,1.000000000331244
10.0,2876,2.0768426414267775,1,1.0000000016336095
10.0,4069,2.0768426414267775,1,1.0000000000243352
10.0,1128,2.0768426414267775,1,1.0000000000240958
10.0,20424,2.0768426414267775,1,0.9999999998876983
10.0,6920,2.0768426414267775,1,1.0000000003020033
10.0,18287,2.0768426414267775,1,1.0000000000245806
10.0,19224,2.0768426414267775,1,1.00000000015124
10.0,21031,4.070379948063401,1,1.000000000581049
10.0,16633,4.070379948063401,1,1.0000000002099037
