dataset,radius,slot,step_input,he_output,dist_km
k5_jellybean,0.2,394,-2.4472314571043905e-05,2.4050012325016785e-10,4.380600384305171
k5_jellybean,0.2,396,-2.4472314571043905e-05,8.531372370321081e-10,4.380600384305171
k5_jellybean,0.2,398,-2.4472314571043905e-05,-8.825915961808831e-11,4.380600384305171
k5_jellybean,0.2,400,-2.4472314571043905e-05,8.716063269301752e-11,4.380600384305171
k5_jellybean,0.2,402,-2.4472314571043905e-05,3.987429876575499e-10,4.380600384305171
k5_jellybean,0.2,404,-2.4472314571043905e-05,3.9122573915713154e-10,4.380600384305171
k5_jellybean,0.2,406,-2.4472314571043905e-05,2.1817324839847316e-10,4.380600384305171
k5_jellybean,0.2,408,-2.4472314571043905e-05,3.5482891004063226e-10,4.380600384305171
k5_jellybean,0.2,411,-2.4472314571043905e-05,3.8302671915837794e-10,4.380600384305171
k5_jellybean,0.2,414,-2.4472314571043905e-05,1.7470647102590714e-10,4.380600384305171
k5_jellybean,0.2,417,-2.4472314571043905e-05,4.920151216668979e-10,4.380600384305171
k5_jellybean,0.2,420,-2.4472314571043905e-05,3.919072380471313e-10,4.380600384305171
k5_jellybean,0.2,423,-2.4472314571043905e-05,5.56201993233426e-10,4.380600384305171
k5_jellybean,0.2,426,-2.4472314571043905e-05,7.243552997006915e-10,4.380600384305171
k5_jellybean,0.2,429,-2.4472314571043905e-05,6.929678141313157e-10,4.380600384305171
k5_jellybean,0.2,432,-2.4472314571043905e-05,8.062921354680864e-10,4.380600384305171
k5_jellybean,0.2,435,-2.4472314571043905e-05,3.7633482532519703e-10,4.380600384305171
k5_jellybean,0.2,438,-2.4472314571043905e-05,6.771415278390535e-10,4.380600384305171
k5_jellybean,0.2,441,-2.4472314571043905e-05,3.6875681093882945e-11,4.380600384305171
k5_jellybean,0.2,444,-2.4472314571043905e-05,-8.5111622259349e-10,4.380600384305171
k5_jellybean,0.2,447,-2.4472314571043905e-05,3.1817607743875755e-10,4.380600384305171
k5_jellybean,0.2,450,-2.4472314571043905e-05,5.490701371583187e-10,4.380600384305171
k5_jellybean,0.2,453,-2.4472314571043905e-05,9.00871382537941e-10,4.380600384305171
k5_jellybean,0.2,456,-2.4472314571043905e-05,-5.338300395825031e-13,4.380600384305171
k5_jellybean,0.2,458,-2.4472314571043905e-05,1.9219904689362058e-10,4.380600384305171
k5_jellybean,0.2,459,-2.4472314571043905e-05,9.346223085559813e-10,4.380600384305171
k5_jellybean,0.2,460,-2.4472314571043905e-05,4.3882442740521065e-10,4.380600384305171
k5_jellybean,0.2,461,-2.4472314571043905e-05,5.399966040183261e-11,4.380600384305171
k5_jellybean,0.2,462,-2.4472314571043905e-05,-2.2112403071800957e-10,4.380600384305171
k5_jellybean,0.2,463,-2.4472314571043905e-05,4.53584298591647e-10,4.380600384305171
k5_jellybean,0.2,464,-2.4472314571043905e-05,3.962478230833342e-10,4.380600384305171
k5_jellybean,0.2,465,-2.4472314571043905e-05,1.9630914708082017e-10,4.380600384305171
k5_jellybean,0.2,466,-2.4472314571043905e-05,2.762141590065308e-10,4.380600384305171
k5_jellybean,0.2,467,-2.4472314571043905e-05,-1.0991656701128506e-09,4.380600384305171
k5_jellybean,0.2,468,-2.4472314571043905e-05,7.65985790090879e-10,4.380600384305171
k5_jellybean,0.2,469,-2.4472314571043905e-05,8.425826791488824e-11,4.380600384305171
k5_jellybean,0.2,470,-2.4472314571043905e-05,5.190276641490555e-10,4.380600384305171
k5_jellybean,0.2,471,-2.4472314571043905e-05,2.045898072286565e-10,4.380600384305171
k5_jellybean,0.2,472,-2.4472314571043905e-05,7.45546281727299e-10,4.380600384305171
k5_jellybean,0.2,473,-2.4472314571043905e-05,-1.1189171077935844e-10,4.380600384305171
k5_jellybean,0.2,475,-2.4472314571043905e-05,6.36400881042102e-10,4.380600384305171
k5_jellybean,0.2,477,-2.4472314571043905e-05,2.947056229636349e-10,4.380600384305171
k5_jellybean,0.2,479,-2.4472314571043905e-05,8.864346540484682e-10,4.380600384305171
k5_jellybean,0.2,481,-2.4472314571043905e-05,4.5779922315586966e-10,4.380600384305171
k5_jellybean,0.2,483,-2.4472314571043905e-05,2.4482721684493503e-10,4.380600384305171
k5_jellybean,0.2,485,-2.4472314571043905e-05,-4.396030465866072e-10,4.380600384305171
k5_jellybean,0.2,487,-2.4472314571043905e-05,-2.5632400466735325e-10,4.380600384305171
k5_jellybean,0.2,489,-2.4472314571043905e-05,6.675455677136862e-10,4.380600384305171
k5_jellybean,0.2,491,-2.4472314571043905e-05,1.5636581824028372e-10,4.380600384305171
k5_jellybean,0.2,493,-2.4472314571043905e-05,4.5176482081801335e-10,4.380600384305171
k5_jellybean,0.2,495,-2.4472314571043905e-05,3.992523602519954e-12,4.380600384305171
k5_jellybean,0.2,497,-2.4472314571043905e-05,-2.0788454597462687e-10,4.380600384305171
k5_jellybean,0.2,499,-2.4472314571043905e-05,9.937251382384377e-10,4.380600384305171
k5_jellybean,0.2,501,-2.4472314571043905e-05,4.1078606895555725e-10,4.380600384305171
k5_jellybean,0.2,502,-2.4472314571043905e-05,8.009897494863145e-10,4.380600384305171
k5_jellybean,0.2,503,-2.4472314571043905e-05,2.358509050110883e-10,4.380600384305171
k5_jellybean,0.2,504,-2.4472314571043905e-05,5.893577887848211e-11,4.380600384305171
