dataset,radius,slot,dist_km,plain,decrypted
k5_kitkat,2.0,1274,161.13088292827368,0,1.5850118733269795e-11
k5_kitkat,2.0,1434,161.13217815199386,0,7.650216381118972e-11
k5_kitkat,2.0,1436,161.13217815199386,0,2.736933530445687e-10
k5_kitkat,2.0,1469,161.13888763510175,0,2.707006217550718e-10
k5_kitkat,2.0,1559,161.25334783696044,0,8.814147790015419e-11
k5_kitkat,2.0,1295,161.45818193108852,0,-3.6423392751530306e-10
k5_kitkat,2.0,1321,161.58348936223618,0,5.747047444821377e-11
k5_kitkat,2.0,1356,161.64507497029015,0,-3.1465608919876497e-10
k5_kitkat,2.0,2236,163.31561600939582,0,-7.6277128703962e-10
k5_kitkat,2.0,2281,163.48428660718577,0,-1.325421312929557e-11
k5_kitkat,2.0,2562,164.79620866653784,0,4.563888195337759e-11
k5_kitkat,2.0,2535,164.95175122326265,0,-5.378710221773728e-10
k5_kitkat,2.0,1783,164.95640938244406,0,9.175009061880738e-10
k5_kitkat,2.0,1748,164.9726151381024,0,-4.440396273785538e-10
k5_kitkat,2.0,2402,165.14297248639346,0,-1.551332711625778e-10
k5_kitkat,2.0,2660,166.66299215175732,0,-3.9576689669681717e-11
k5_kitkat,2.0,2646,166.66299215175732,0,2.1932666710217663e-10
k5_kitkat,2.0,2623,166.71201384608878,0,-2.79281353535804e-10
k5_kitkat,2.0,0,530.7628267484527,0,-5.56204044834607e-10
k5_kitkat,2.0,1,530.7628267484527,0,5.78039742789561e-10
k5_kitkat,3.0,5104,0.0,1,1.0000000010727552
k5_kitkat,3.0,4,0.4409954260355939,1,1.000000000181068
k5_kitkat,3.0,6668,0.47364704428899806,1,0.9999999998395135
k5_kitkat,3.0,3686,0.6532164191039603,1,1.0000000001423015
k5_kitkat,3.0,6621,0.6860880309594772,1,1.0000000003536882
k5_kitkat,3.0,3953,0.694041173379335,1,0.9999999998885345
k5_kitkat,3.0,4158,0.6951084798909942,1,0.9999999993392463
k5_kitkat,3.0,4152,0.6951084798909942,1,0.9999999996538375
k5_kitkat,3.0,4162,0.8009906632840168,1,0.9999999995986547
k5_kitkat,3.0,4147,2.7293503042522875,1,1.0000000001346745
k5_kitkat,3.0,6208,6.696800071541991,0,-4.286182392649957e-10
k5_kitkat,3.0,3576,7.164848777231444,0,3.2818381576343387e-10
k5_kitkat,3.0,4142,12.38977210253078,0,6.066829429270425e-10
k5_kitkat,3.0,4800,27.737444092285553,0,-3.2266702930186146e-10
k5_kitkat,3.0,4714,28.08202447419198,0,9.64830527345764e-10
k5_kitkat,3.0,1191,56.319647110767455,0,1.547431762973243e-10
k5_kitkat,3.0,1199,56.319647110767455,0,-3.916759607781524e-11
k5_kitkat,3.0,1196,56.319647110767455,0,4.1264916553055217e-10
k5_kitkat,3.0,2960,149.65183800739752,0,-1.6107448516060113e-09
k5_kitkat,3.0,2965,149.65183800739752,0,-4.031500682452917e-10
k5_kitkat,3.0,1212,160.63315431444488,0,1.3310331294052538e-10
k5_kitkat,3.0,1285,161.12073149233893,0,8.807225416021575e-10
k5_kitkat,3.0,1274,161.13088292827368,0,2.415589056119189e-10
k5_kitkat,3.0,1434,161.13217815199386,0,-5.126750904163425e-10
k5_kitkat,3.0,1436,161.13217815199386,0,-6.688060417610756e-10
k5_kitkat,3.0,1469,161.13888763510175,0,1.0392447485834171e-10
k5_kitkat,3.0,1559,161.25334783696044,0,-3.0405244163868244e-10
k5_kitkat,3.0,1295,161.45818193108852,0,2.5386769783863296e-10
k5_kitkat,3.0,1321,161.58348936223618,0,2.1958076860926475e-11
k5_kitkat,3.0,1356,161.64507497029015,0,-4.2628542209160905e-10
k5_kitkat,3.0,2236,163.31561600939582,0,-1.5447463065546043e-09
k5_kitkat,3.0,2281,163.48428660718577,0,-8.83089537548452e-10
k5_kitkat,3.0,2562,164.79620866653784,0,3.744767324439822e-10
k5_kitkat,3.0,2535,164.95175122326265,0,4.74636938544154e-10
k5_kitkat,3.0,1783,164.95640938244406,0,9.971361244702679e-10
k5_kitkat,3.0,1748,164.9726151381024,0,-3.4645225997092627e-10
k5_kitkat,3.0,2402,165.14297248639346,0,-5.885076392529759e-10
k5_kitkat,3.0,2660,166.66299215175732,0,-5.77018665399982e-10
k5_kitkat,3.0,2646,166.66299215175732,0,1.0527972043167463e-09
k5_kitkat,3.0,2623,166.71201384608878,0,1.0843458091584449e-10
k5_kitkat,3.0,0,530.7628267484527,0,-7.045193851580602e-10
k5_kitkat,3.0,1,530.7628267484527,0,-2.509916868515714e-10
k5_kitkat,5.0,5104,0.0,1,1.000000000877051
k5_kitkat,5.0,4,0.4409954260355939,1,1.0000000002394913
k5_kitkat,5.0,6668,0.47364704428899806,1,1.000000000188943
k5_kitkat,5.0,3686,0.6532164191039603,1,1.0000000006735967
k5_kitkat,5.0,6621,0.6860880309594772,1,0.9999999996073434
k5_kitkat,5.0,3953,0.694041173379335,1,1.0000000006708403
k5_kitkat,5.0,4158,0.6951084798909942,1,0.99999999990918
k5_kitkat,5.0,4152,0.6951084798909942,1,1.0000000008820304
k5_kitkat,5.0,4162,0.8009906632840168,1,0.9999999994957347
k5_kitkat,5.0,4147,2.7293503042522875,1,1.000000000635331
k5_kitkat,5.0,6208,6.696800071541991,0,1.1007928273418113e-09
k5_kitkat,5.0,3576,7.164848777231444,0,-3.0255557668615176e-10
k5_kitkat,5.0,4142,12.38977210253078,0,9.252206895833833e-11
k5_kitkat,5.0,4800,27.737444092285553,0,-8.155007699121293e-10
