dataset,radius,slot,step_input,he_output,dist_km
k5_kitkat,0.2,5143,-5.662233165384791e-07,4.441477254068267e-10,0.6950334146797383
k5_kitkat,0.2,5153,-5.662233165384791e-07,2.560896285935704e-10,0.6950334146797383
k5_kitkat,0.2,5154,-5.662233165384791e-07,2.916036221626666e-10,0.6950334146797383
k5_kitkat,0.2,5298,-1.7466393535742486e-06,-3.594844978786831e-10,1.1860651522493135
k5_kitkat,0.2,5299,-1.7466393535742486e-06,-4.810662229710766e-10,1.1860651522493135
k5_kitkat,0.2,5690,-0.0001958110968565451,2.485703204195323e-10,12.37993424818
k5_kitkat,0.2,5691,-0.0001958110968565451,4.662944958723408e-10,12.37993424818
k5_kitkat,0.2,6106,-6.905836668345738e-05,-1.407695205896539e-10,7.353800347527714
k5_kitkat,0.2,6107,-6.905836668345738e-05,-2.359478279634456e-10,7.353800347527714
k5_kitkat,0.2,6188,-5.835245731819179e-05,-5.554592877807873e-10,6.760249498801603
k5_kitkat,0.2,6191,-5.763902131962647e-05,-1.0773433427769337e-09,6.718832299756432
k5_kitkat,0.2,6192,-5.749496500205145e-05,-5.069982287834729e-10,6.710438359052836
k5_kitkat,0.2,6197,-5.7378503068877746e-05,-1.1217591622739897e-10,6.7036446175047715
k5_kitkat,0.2,6198,-5.7378503068877746e-05,4.4583593121591786e-10,6.7036446175047715
k5_kitkat,0.2,6199,-5.726128951335371e-05,-4.191468882026721e-10,6.696800071541991
k5_kitkat,0.2,6207,-5.726128951335371e-05,-8.584369654515172e-10,6.696800071541991
k5_kitkat,0.2,6208,-5.726128951335371e-05,-5.30594152110668e-10,6.696800071541991
k5_kitkat,0.2,6423,-5.702924356490342e-05,3.271021533822572e-11,6.683229350090018
k5_kitkat,0.2,6424,-5.702924356490342e-05,-3.1347954283819545e-10,6.683229350090018
k5_kitkat,0.2,6620,-5.504346726694247e-07,3.4641372347669845e-10,0.6860880309594772
k5_kitkat,0.2,6621,-5.504346726694247e-07,1.449295738163064e-10,0.6860880309594772
k5_kitkat,0.2,6668,-2.3557931540316068e-07,-3.691814326019501e-10,0.47364704428899806
k5_kitkat,0.2,6679,-1.946922555053124e-07,8.741014884562081e-11,0.4385741388501655
k5_kitkat,0.2,6713,-1.946922555053124e-07,-8.179313609000031e-10,0.4385741388501655
k5_kitkat,0.2,6743,-1.974138942703498e-07,1.2865517127969223e-09,0.4409954260355939
k5_kitkat,0.2,6808,-1.946922555053124e-07,-5.123016921117165e-10,0.4385741388501655
k5_kitkat,0.2,6817,-1.974138942703498e-07,4.1393451680040264e-10,0.4409954260355939
k5_kitkat,0.2,0,-0.36001029507989285,8.143604799099762e-10,530.7628267484527
k5_kitkat,0.5,4,7.095568164854014e-08,1.0000000004771543,0.4409954260355939
k5_kitkat,0.5,17,7.095568164854014e-08,0.9999999998929487,0.4409954260355939
k5_kitkat,0.5,22,7.095568164854014e-08,0.999999999238986,0.4409954260355939
k5_kitkat,0.5,85,7.095568164854014e-08,1.0000000002225646,0.4409954260355939
k5_kitkat,0.5,1187,-0.004045704330582366,-2.8672802331655024e-10,56.267448866508296
k5_kitkat,0.5,1188,-0.00405005076825597,4.9635301770111914e-11,56.297663383946315
k5_kitkat,0.5,1189,-0.0040532146515494475,9.378214735281804e-10,56.319647110767455
k5_kitkat,0.5,1190,-0.0040532146515494475,5.672795182125817e-10,56.319647110767455
k5_kitkat,0.5,1191,-0.0040532146515494475,1.8791605929573246e-10,56.319647110767455
k5_kitkat,0.5,1192,-0.0040532146515494475,2.2700938571077663e-10,56.319647110767455
k5_kitkat,0.5,1193,-0.0040532146515494475,4.10998341075186e-10,56.319647110767455
k5_kitkat,0.5,1194,-0.0040532146515494475,-3.7636669070560104e-10,56.319647110767455
k5_kitkat,0.5,1195,-0.0040532146515494475,1.1168412685046693e-09,56.319647110767455
k5_kitkat,0.5,1196,-0.0040532146515494475,5.023353073492957e-10,56.319647110767455
k5_kitkat,0.5,1197,-0.0040532146515494475,7.062578630521633e-10,56.319647110767455
k5_kitkat,0.5,1198,-0.0040532146515494475,6.774490999696025e-10,56.319647110767455
k5_kitkat,0.5,1199,-0.0040532146515494475,1.7948844157299834e-10,56.319647110767455
k5_kitkat,0.5,1200,-0.0040532146515494475,3.253956846912868e-10,56.319647110767455
k5_kitkat,0.5,1201,-0.0040532146515494475,3.7433986580123955e-10,56.319647110767455
k5_kitkat,0.5,1202,-0.0040532146515494475,3.961830946135738e-10,56.319647110767455
k5_kitkat,0.5,1206,-0.014704586283717925,-2.532229113073326e-11,107.268974898703
k5_kitkat,0.5,1207,-0.014732215930643257,-3.958353453939575e-10,107.3697036300519
k5_kitkat,0.5,1211,-0.03296554824769419,1.043985823929737e-09,160.61099157142
k5_kitkat,0.5,1212,-0.03297464680884309,-4.782099048187979e-10,160.63315431444488
k5_kitkat,0.5,1213,-0.033014978626086273,-4.694873027606036e-10,160.73135983141933
k5_kitkat,0.5,1214,-0.03301867712325953,5.351155429330315e-10,160.74036244333493
k5_kitkat,0.5,1215,-0.033096070415786556,3.537881463010214e-10,160.92863201586354
