radius,slot,step_input,he_output,dist_km
0.5,62,-9.374202324700515e-06,-4.766231224859613e-10,2.754149869248217
0.5,65,-9.317926194639303e-06,-4.769962253764196e-11,2.74614370733123
0.5,68,-9.317926194639303e-06,-2.1736077414960343e-10,2.74614370733123
0.5,71,-1.0645008400353176e-05,2.6337706763492163e-10,2.929121212430598
0.5,74,-3.106807035070977e-05,-2.687006984545239e-10,4.955891287595548
0.5,77,-9.30124545804571e-06,-1.0803824003924869e-10,2.7437661224638648
0.5,80,-0.0002537707425225854,-2.5365135982870957e-10,14.100580448212929
0.5,82,-0.0002528904481767868,-1.6519209034687956e-10,14.076133560192018
0.5,84,-2.467284365104537e-05,2.6954724199453023e-10,4.422281575720752
0.5,86,3.1948759037963085e-07,0.9999999998136737,0.0
0.5,88,-2.6127935098061604e-05,-7.474953911526621e-11,4.549196386937969
0.5,91,-6.218873934804993e-05,-3.203709190436241e-10,6.993774053260166
0.5,94,-6.206916647404864e-05,3.8739097737498075e-10,6.987081606411762
0.5,97,-9.294849632137443e-06,3.204987801140186e-10,2.74285394831339
0.5,100,-6.296998414981032e-06,4.072089230816611e-10,2.275394513358442
0.5,102,-8.495951665862531e-06,-3.4372270203808277e-10,2.6264248935216594
0.5,104,-8.495951665862531e-06,-2.2279106574061373e-10,2.6264248935216594
0.5,107,-8.64169517822121e-06,1.0270325320323954e-09,2.648046913841133
0.5,110,-9.242276464098987e-06,1.6119066914285755e-09,2.7353444243328706
0.5,112,-9.698172681106386e-06,-5.064571458596095e-10,2.799794506775949
0.5,114,-0.0024369838900641294,2.482136914601232e-10,43.6714691838907
0.5,116,-0.002218898252923039,1.3258089338757929e-11,41.67186765612977
0.5,118,-2.6165932145840436e-05,3.1143217457656624e-10,4.552463132311251
0.5,121,-9.251571067399091e-06,5.579042750631484e-10,2.7366735601374064
0.5,123,-2.9069404176625124e-05,1.3317955459918882e-09,4.795507915156257
0.5,125,-0.001185851078045887,1.5743519194796056e-11,30.46608005289624
0.5,128,-0.000521082683239483,-3.677930179207706e-10,20.198979336868078
0.5,130,-0.00012058769291334915,-8.538757758990582e-10,9.726779130177333
0.5,132,-9.249128217226083e-06,-5.383556563728834e-10,2.736324293125803
0.5,134,-9.314775658173376e-06,2.6700851015016975e-12,2.7456948040629627
0.5,135,-2.595769401132906e-05,4.166626304544116e-10,4.5345312442123005
0.5,137,-2.595769401132906e-05,2.6253464427298557e-10,4.5345312442123005
0.5,140,-2.5892849541399507e-05,1.7696624793410036e-09,4.528932833688872
0.5,142,-9.26123621994589e-06,-4.3466358928758614e-10,2.738055000485007
0.5,145,-9.26123621994589e-06,2.82124916716948e-10,2.738055000485007
0.5,147,-9.424539100099209e-06,-3.655978384439787e-11,2.761291397220719
0.5,149,-0.0003746473341098907,-3.6202422428806463e-10,17.129292609582922
0.5,151,-0.00024035972563819102,-5.2005242229729844e-11,13.723418231065708
0.5,152,-9.38105514353304e-06,2.1212445375517e-10,2.7551232011689013
